class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,103782,77013,-26769,3496379,3496238
bot,4,6,2,41415,41415
brute_force,21110,21110,0,115020,115020
ddos,8,13,5,191585,217337
dos,0,0,0,36761,37371
infiltration,4577,4621,44,10158,10207
web_attacks,2079,2402,323,236,361
