expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202121,normgain,0.943,181,11342,0.6571,0.5639
2,202121,normgain,0.9132,8916,8625,0.7567,0.2485
3,202121,normgain,0.9707,21,5907,0.6861,0.2607
4,202121,normgain,0.9609,193,7703,0.5885,0.5187
5,202121,normgain,0.9642,10,7222,0.8058,0.3705
