a,b,gain_pearson_r
e1,e2,0.9741
e1,e3,0.9527
e1,e4,0.8876
e1,e5,0.9913
e2,e3,0.9529
e2,e4,0.8854
e2,e5,0.9759
e3,e4,0.9357
e3,e5,0.9538
e4,e5,0.893
