expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,15892,12761,15892,0,0,0,0,0,15892,0
2,40275,12761,40275,253,0,38556,0,0,1466,0
3,405,12761,405,0,0,0,405,0,0,0
4,1931415,12761,186000,160536,4469,1552,8570,9524,1349,0
5,112,12761,112,0,0,0,0,0,0,112
