a,b,agreement
global,e1,0.626
global,e2,0.8572
global,e3,0.8695
global,e4,0.9951
global,e5,0.8663
e1,e2,0.7654
e1,e3,0.7537
e1,e4,0.6244
e1,e5,0.7575
e2,e3,0.9677
e2,e4,0.8556
e2,e5,0.9757
e3,e4,0.8684
e3,e5,0.9695
e4,e5,0.8649
