expert,frac_positive,frac_unique_positive,mean_gain_positive
1,0.107,0.0001,31.9789
2,0.6219,0.3604,6.6159
3,0.07,0.0,39.7
4,0.0513,0.0113,28.1929
5,0.269,0.0404,12.9805
