model,class,support,TP,FP,FN,f1
designed_region_constant,benign,2652203,2633013,347458,19190,0.9349069376285579
designed_region_constant,bot,41542,0,0,41542,0.0
designed_region_constant,brute_force,37696,0,0,37696,0.0
designed_region_constant,ddos,262680,0,0,262680,0.0
designed_region_constant,dos,39483,39379,695,104,0.9899568862576518
designed_region_constant,infiltration,8742,2950,18254,5792,0.19702130501569493
designed_region_constant,web_attacks,127,119,605,8,0.2796709753231492
matched_random_e1_raw,benign,2652203,2651049,8755,1154,0.9981346033617802
matched_random_e1_raw,bot,41542,41418,321,124,0.994656644372666
matched_random_e1_raw,brute_force,37696,37676,0,20,0.9997346494719525
matched_random_e1_raw,ddos,262680,261017,3,1663,0.9968187893832346
matched_random_e1_raw,dos,39483,38866,50,617,0.9914922384214084
matched_random_e1_raw,infiltration,8742,2480,719,6262,0.41537559668369484
matched_random_e1_raw,web_attacks,127,33,86,94,0.2682926829268293
matched_random_e1_calibrated,benign,2652203,2651049,8755,1154,0.9981346033617802
matched_random_e1_calibrated,bot,41542,41418,321,124,0.994656644372666
matched_random_e1_calibrated,brute_force,37696,37676,0,20,0.9997346494719525
matched_random_e1_calibrated,ddos,262680,261017,3,1663,0.9968187893832346
matched_random_e1_calibrated,dos,39483,38866,50,617,0.9914922384214084
matched_random_e1_calibrated,infiltration,8742,2480,719,6262,0.41537559668369484
matched_random_e1_calibrated,web_attacks,127,33,86,94,0.2682926829268293
