model,grouping,groups,replicates,delta_macro_f1_low,delta_macro_f1_high
global_calibrated,exact_vector,2082301,200,0.0,0.0
global_calibrated,time_block,15,200,0.0,0.0
designed_e1_raw,exact_vector,2082301,200,-0.009154782061379601,-0.004173245801697606
designed_e1_raw,time_block,15,200,-0.02176583442230335,0.010204055241071798
designed_e1_calibrated,exact_vector,2082301,200,-0.009154782061379601,-0.004173245801697606
designed_e1_calibrated,time_block,15,200,-0.02176583442230335,0.010204055241071798
designed_e2_raw,exact_vector,2082301,200,-0.07870269884343405,-0.0594640578712607
designed_e2_raw,time_block,15,200,-0.10255520200366014,-0.01390420905022978
designed_e2_calibrated,exact_vector,2082301,200,-0.07870269884343405,-0.0594640578712607
designed_e2_calibrated,time_block,15,200,-0.10255520200366014,-0.01390420905022978
designed_e3_raw,exact_vector,2082301,200,-0.10442330147875466,-0.0895213058701844
designed_e3_raw,time_block,15,200,-0.11543704587847199,-0.02511583876619362
designed_e3_calibrated,exact_vector,2082301,200,-0.10442330147875466,-0.0895213058701844
designed_e3_calibrated,time_block,15,200,-0.11543704587847199,-0.02511583876619362
designed_e4_raw,exact_vector,2082301,200,-0.09807853772097373,-0.0839673112758021
designed_e4_raw,time_block,15,200,-0.11172471233027875,-0.017818157102794763
designed_e4_calibrated,exact_vector,2082301,200,-0.09807853772097373,-0.0839673112758021
designed_e4_calibrated,time_block,15,200,-0.11172471233027875,-0.017818157102794763
matched_random_e1_raw,exact_vector,2082301,200,0.0001974845441658269,0.02081480701377973
matched_random_e1_raw,time_block,15,200,-0.04920554404415523,0.024161367566066586
matched_random_e1_calibrated,exact_vector,2082301,200,0.0001974845441658269,0.02081480701377973
matched_random_e1_calibrated,time_block,15,200,-0.04920554404415523,0.024161367566066586
