beta,T,tune_balanced_nll
0.0,0.8,1.736297
0.0,1.0,1.669805
0.0,1.25,1.700473
0.5,0.8,7.010556
0.5,1.0,5.862287
0.5,1.25,5.050301
1.0,0.8,16.757535
1.0,1.0,13.620668
1.0,1.25,11.208184
