model,macro_f1,accuracy,rows
global_raw,0.7983738546828762,0.9939608338348442,3042473
global_calibrated,0.7983738546828762,0.9939608338348442,3042473
designed_e1_raw,0.7918947856048776,0.9957163136698337,3042473
designed_e1_calibrated,0.7918947856048776,0.9957163136698337,3042473
designed_e2_raw,0.7292875704634704,0.8512190576547434,3042473
designed_e2_calibrated,0.7292875704634704,0.8512190576547434,3042473
designed_e3_raw,0.7026551029560452,0.7427359256762509,3042473
designed_e3_calibrated,0.7026551029560452,0.7427359256762509,3042473
designed_e4_raw,0.7082230701044882,0.8047667144457814,3042473
designed_e4_calibrated,0.7082230701044882,0.8047667144457814,3042473
designed_fixed_region,0.7599911670296561,0.9929366669811038,3042473
designed_validation_region_reference,0.741830123182858,0.8532522720826118,3042473
designed_region_constant,0.34307944346072194,0.8793704989329404,3042473
matched_random_e1_raw,0.8092150292316523,0.9967348929637173,3042473
matched_random_e1_calibrated,0.8092150292316523,0.9967348929637173,3042473
