class,designated_expert,block_rows_of_class,block_share,other_experts_dominated_by_class
benign,2.0,185258.0,0.9960107526881721,8
bot,1.0,28676.0,0.999860529986053,
brute_force,5.0,21467.0,0.9999534190422955,3
ddos,7.0,163298.0,0.8779462365591398,
dos,4.0,3524.0,1.0,
infiltration,6.0,6171.0,0.9940399484536082,
web_attacks,,0.0,0.0,
