policy,class,support,f1,precision,recall,H,D
global,benign,2652203,0.9978288284774497,0.9972900902801056,0.9983681490443982,0,0
global,bot,41542,0.9981673940826119,0.9998792270531401,0.9964614125463387,0,0
global,brute_force,37696,0.9997346494719525,1.0,0.9994694397283531,0,0
global,ddos,262680,0.9991026981922512,0.9999656785914494,0.9982412060301508,0,0
global,dos,39483,0.991998774932047,0.9996913580246913,0.9844236760124611,0,0
global,infiltration,8742,0.35440575763470145,0.409070498428379,0.3126286890871654,0,0
global,web_attacks,127,0.3333333333333333,0.20593692022263452,0.8740157480314961,0,0
regime_route,benign,2652203,0.9838334748636116,0.9964695386036172,0.97151386979051,793,72016
regime_route,bot,41542,0.9977447870813686,0.9997341518234768,0.9957633238650041,0,29
regime_route,brute_force,37696,0.9997346494719525,1.0,0.9994694397283531,0,0
regime_route,ddos,262680,0.9937463967561707,0.9999922904644609,0.9875780417237704,10,2811
regime_route,dos,39483,0.9919607993262384,0.9996142272972764,0.9844236760124611,0,0
regime_route,infiltration,8742,0.08624430585375274,0.047876701098540746,0.4342255776710135,1067,4
regime_route,web_attacks,127,0.1807909604519774,0.32,0.12598425196850394,2,97
regime_route+V,benign,2652203,0.9981795731182814,0.9976924763277302,0.9986671457652374,793,0
regime_route+V,bot,41542,0.9981794287505577,0.999903379308679,0.9964614125463387,0,0
regime_route+V,brute_force,37696,0.9997346494719525,1.0,0.9994694397283531,0,0
regime_route+V,ddos,262680,0.9991350898249224,0.9999923731075773,0.9982792751636973,10,0
regime_route+V,dos,39483,0.9920114341134734,0.9997170709123177,0.9844236760124611,0,0
regime_route+V,infiltration,8742,0.47322540473225405,0.5192675594424706,0.43468313886982385,1067,0
regime_route+V,web_attacks,127,0.743421052631579,0.6384180790960452,0.889763779527559,2,0
class_route,benign,2652203,0.9996712617141289,0.9995344767990398,0.999808084071996,3898,79
class_route,bot,41542,0.9982882079224631,0.999855114459577,0.9967262048047759,13,2
class_route,brute_force,37696,0.9997346494719525,1.0,0.9994694397283531,0,0
class_route,ddos,262680,0.9998172368496202,0.9999885753455958,0.9996459570580174,370,1
class_route,dos,39483,0.9921386457030552,0.9998971061093248,0.984499658080693,3,0
class_route,infiltration,8742,0.9139954034111528,0.9697125256673511,0.8643331045527339,4827,4
class_route,web_attacks,127,0.167420814479638,0.09257714762301918,0.8740157480314961,0,0
class_route+V,benign,2652203,0.9995454166806447,0.9992531337670584,0.9998378706305664,3898,0
class_route+V,bot,41542,0.998336427417605,0.9999034096397179,0.9967743488517645,13,0
class_route+V,brute_force,37696,0.9997346494719525,1.0,0.9994694397283531,0,0
class_route+V,ddos,262680,0.999819140976753,0.9999885753891032,0.9996497639713721,370,0
class_route+V,dos,39483,0.9921513074773154,0.9999228275968514,0.984499658080693,3,0
class_route+V,infiltration,8742,0.9171418172995268,0.9762396694214877,0.8647906657515443,4827,0
class_route+V,web_attacks,127,0.4051094890510949,0.26365795724465557,0.8740157480314961,0,0
union,benign,2652203,0.9997270756761851,0.9995209733399616,0.9999332630270006,4151,0
union,bot,41542,0.9985295181158547,0.9999517188103515,0.9971113571806846,27,0
union,brute_force,37696,0.9997346494719525,1.0,0.9994694397283531,0,0
union,ddos,262680,0.9999961931011379,0.9999923862312606,1.0,462,0
union,dos,39483,0.9928323640444853,0.9999486191393706,0.9858166805967125,55,0
union,infiltration,8742,0.9527054814640737,0.9793453315617828,0.927476549988561,5375,0
union,web_attacks,127,0.7949526813880127,0.6631578947368421,0.9921259842519685,15,0
