policy,macro_f1,tail_f1,benign_f1,accuracy,attack_called_benign,benign_called_attack,changed,H,D
global,0.8106530623034781,0.5619688283502156,0.9978288284774497,0.996188298137732,0.018435954595536423,0.0016318509556018147,0,0,0
regime_route,0.7477221962578674,0.4215933511290329,0.9838334748636116,0.9721667209536453,0.023391498193558305,0.028486130209489997,76914,1872,74957
regime_route+V,0.886269518949003,0.7382752953714636,0.9981795731182814,0.996803587081956,0.015696825274809745,0.001332854234762573,1872,1872,0
class_route,0.8672951742217159,0.693234808604418,0.9996712617141289,0.9991546350616751,0.0031644758756758143,0.0001919159280040027,9971,9111,86
class_route+V,0.9016911783392703,0.7735292445894087,0.9995454166806447,0.9991829015409504,0.005078535372946934,0.00016212936943363687,9111,9111,0
union,0.962639709037386,0.9153958936559804,0.9997270756761851,0.9995030358527421,0.003256719706869603,6.673697299942726e-05,10085,10085,0
