class,support,mean_delta,pct_delta_neg
benign,454537,0.032252787738361315,0.0
dos-hulk,46025,0.0678860251461544,0.0
portscan,31786,0.06420747816893246,0.0
ddos,25606,0.029525011994866027,0.0
dos-goldeneye,2059,0.09797126742923085,0.0
ftp-patator,1588,0.1154637335415834,0.0
ssh-patator,1179,0.017496484126868446,0.0
dos-slowloris,1159,0.05252383995064161,0.0
dos-slowhttptest,1100,0.06652809696025656,0.0
bot,393,0.1912715658961747,0.0
web-attack-�-brute-force,302,0.058786689472831485,0.0
web-attack-�-xss,130,0.05452828454836606,0.0
infiltration,7,0.07218713172050517,0.0
web-attack-�-sql-injection,4,0.050147253260275415,0.0
heartbleed,2,0.11743123866275496,0.0
