class,support,f1_baseline,f1_oracle,f1_tta,oracle_minus_tta
benign,454537,0.999346179331782,0.9993803224304568,0.9977653643602625,0.0016149580701942945
dos-hulk,46025,0.9986213484731705,0.9988711113040836,0.9940445952810714,0.004826516023012206
portscan,31786,0.9966283500870357,0.9967533995200678,0.99575161861763,0.0010017809024378543
ddos,25606,0.999648629655657,0.9997071856638101,0.9989660755740232,0.0007411100897869449
dos-goldeneye,2059,0.9894128970163619,0.9961240310077519,0.9776509747979077,0.018473056209844185
ftp-patator,1588,0.9993702770780857,0.9987413467589679,0.9275277615429574,0.07121358521601051
ssh-patator,1179,0.9995760915642221,0.9987293519695044,0.9899244332493703,0.008804918720134114
dos-slowloris,1159,0.9888698630136986,0.9926944563816072,0.9833971902937421,0.009297266087865186
dos-slowhttptest,1100,0.9873188405797102,0.9877883310719131,0.9637488947833776,0.024039436288535554
bot,393,0.790650406504065,0.7979695431472081,0.549266247379455,0.24870329576775319
web-attack-�-brute-force,302,0.729776247848537,0.8615916955017301,0.7079037800687286,0.15368791543300153
web-attack-�-xss,130,0.44299674267100975,0.7035830618892508,0.37305699481865284,0.33052606707059795
infiltration,7,0.9333333333333333,1.0,0.22950819672131148,0.7704918032786885
web-attack-�-sql-injection,4,0.25,0.5,0.14285714285714285,0.35714285714285715
heartbleed,2,1.0,1.0,0.8,0.19999999999999996
