true_class,support,expert_idx,cap,oracle,pred_x,conf_x,pred_xa,conf_xa,stability,tta_weight
benign,454537,0,1363613,True,benign,0.9990429878234863,benign,0.9841524958610535,0.9934551806090647,0.2700627424694628
benign,454537,1,6176,False,benign,0.9947993159294128,benign,0.9031460881233215,0.9543396099843376,0.2590247203992969
benign,454537,2,3299,False,benign,0.9927880167961121,benign,0.8947966694831848,0.949542847019828,0.2576613917518303
benign,454537,3,22,False,benign,0.7725174427032471,benign,0.6558759808540344,0.7862371147139816,0.2132511453794099
portscan,31786,0,1363613,True,portscan,0.9993860125541687,benign,0.9534699320793152,0.6108295297897587,0.2340619876527081
portscan,31786,1,6176,False,portscan,0.9990146160125732,benign,0.8136439919471741,0.6454911093340635,0.24710115342226743
portscan,31786,2,3299,False,portscan,0.9985872507095337,benign,0.8135562539100647,0.6430804586431359,0.24618195821092065
portscan,31786,3,22,False,portscan,0.9291902780532837,bot,0.5977230072021484,0.7122936248149293,0.27265490071410386
ddos,25606,0,1363613,True,ddos,0.9998873472213745,benign,0.8401586413383484,0.5975475752764914,0.24274888166679726
ddos,25606,1,6176,False,ddos,0.9995033144950867,benign,0.680647611618042,0.606574062179856,0.24631846879945243
ddos,25606,2,3299,False,ddos,0.9995054006576538,benign,0.6741722822189331,0.6165497577881717,0.2502947741975043
ddos,25606,3,22,False,ddos,0.9413929581642151,ftp-patator,0.6676838397979736,0.6417346024966443,0.260637875336246
web-attack-�-xss,130,0,1363613,False,web-attack-�-xss,0.7204330563545227,benign,0.9206822514533997,0.6174975396188042,0.24364413656063674
web-attack-�-xss,130,1,6176,False,web-attack-�-xss,0.7103678584098816,benign,0.8347612023353577,0.6237803385690798,0.24640678046008058
web-attack-�-xss,130,2,3299,False,web-attack-�-xss,0.7109472155570984,benign,0.8495349884033203,0.6161038612437408,0.243448254651657
web-attack-�-xss,130,3,22,True,web-attack-�-xss,0.7844005823135376,ftp-patator,0.5527040958404541,0.6744547175066181,0.26650082832762567
