run,item,value,note
20260827_161322_nfv3_cic2018_exp24b_signscorer,expert1_solo_recovery,0.935222,share of full-bank oracle utility recovered alone
20260827_161322_nfv3_cic2018_exp24b_signscorer,expert2_solo_recovery,0.509899,share of full-bank oracle utility recovered alone
20260827_161322_nfv3_cic2018_exp24b_signscorer,expert3_solo_recovery,0.933506,share of full-bank oracle utility recovered alone
20260827_161322_nfv3_cic2018_exp24b_signscorer,expert4_solo_recovery,0.492082,share of full-bank oracle utility recovered alone
20260827_161322_nfv3_cic2018_exp24b_signscorer,expert1_shared_variance_share,0.972542,fraction of gain variance that is the shared global term
20260827_161322_nfv3_cic2018_exp24b_signscorer,expert2_shared_variance_share,1.044958,fraction of gain variance that is the shared global term
20260827_161322_nfv3_cic2018_exp24b_signscorer,expert3_shared_variance_share,0.905708,fraction of gain variance that is the shared global term
20260827_161322_nfv3_cic2018_exp24b_signscorer,expert4_shared_variance_share,0.985383,fraction of gain variance that is the shared global term
20260827_161322_nfv3_cic2018_exp24b_signscorer,utility_share_benign,1.7e-05,n=100000
20260827_161322_nfv3_cic2018_exp24b_signscorer,posJaccard_e1e2_benign,0.350271,"positive-gain set overlap, within class"
20260827_161322_nfv3_cic2018_exp24b_signscorer,utility_share_bot,0.004568,n=31156
20260827_161322_nfv3_cic2018_exp24b_signscorer,posJaccard_e1e2_bot,0.820227,"positive-gain set overlap, within class"
20260827_161322_nfv3_cic2018_exp24b_signscorer,utility_share_brute_force,0.013853,n=86279
20260827_161322_nfv3_cic2018_exp24b_signscorer,posJaccard_e1e2_brute_force,0.97019,"positive-gain set overlap, within class"
20260827_161322_nfv3_cic2018_exp24b_signscorer,utility_share_ddos,0.001937,n=100000
20260827_161322_nfv3_cic2018_exp24b_signscorer,posJaccard_e1e2_ddos,0.870329,"positive-gain set overlap, within class"
20260827_161322_nfv3_cic2018_exp24b_signscorer,utility_share_dos,0.535112,n=45446
20260827_161322_nfv3_cic2018_exp24b_signscorer,posJaccard_e1e2_dos,0.359526,"positive-gain set overlap, within class"
20260827_161322_nfv3_cic2018_exp24b_signscorer,utility_share_infiltration,0.284621,n=28224
20260827_161322_nfv3_cic2018_exp24b_signscorer,posJaccard_e1e2_infiltration,0.948226,"positive-gain set overlap, within class"
20260827_161322_nfv3_cic2018_exp24b_signscorer,utility_share_web_attacks,0.159891,n=381
20260827_161322_nfv3_cic2018_exp24b_signscorer,posJaccard_e1e2_web_attacks,0.989501,"positive-gain set overlap, within class"
