K,beta,tune_expert_balanced_nll
2,0.0,2.429712
2,0.5,3.955466
2,1.0,7.844905
4,0.0,1.834738
4,0.5,3.450601
4,1.0,7.07667
8,0.0,2.135327
8,0.5,3.412541
8,1.0,6.98299
