run,scope,rows,proposed,proposal_rate,accepted,accept_rate_of_proposed,rejected_calls,wasted_call_rate,calls_per_sample_nominal
20260827_161322_nfv3_cic2018_exp24b_signscorer,ALL,4023114,157986,0.03927,138682,0.877812,19304,0.122188,1.03927
20260827_161322_nfv3_cic2018_exp24b_signscorer,benign,3502926,2851,0.000814,2782,0.975798,69,0.024202,1.000814
20260827_161322_nfv3_cic2018_exp24b_signscorer,bot,41542,30,0.000722,4,0.133333,26,0.866667,1.000722
20260827_161322_nfv3_cic2018_exp24b_signscorer,brute_force,115040,37548,0.326391,37338,0.994407,210,0.005593,1.326391
20260827_161322_nfv3_cic2018_exp24b_signscorer,ddos,264872,92266,0.348342,73413,0.795667,18853,0.204333,1.348342
20260827_161322_nfv3_cic2018_exp24b_signscorer,dos,60594,16238,0.26798,16106,0.991871,132,0.008129,1.26798
20260827_161322_nfv3_cic2018_exp24b_signscorer,infiltration,37631,8807,0.234036,8801,0.999319,6,0.000681,1.234036
20260827_161322_nfv3_cic2018_exp24b_signscorer,web_attacks,509,246,0.483301,238,0.96748,8,0.03252,1.483301
20260827_161322_nfv3_cic2018_exp24b_signscorer,expert1,99989,99989,,88934,0.889438,11055,0.110562,
20260827_161322_nfv3_cic2018_exp24b_signscorer,expert2,12956,12956,,12955,0.999923,1,7.7e-05,
20260827_161322_nfv3_cic2018_exp24b_signscorer,expert3,39239,39239,,31070,0.791814,8169,0.208186,
20260827_161322_nfv3_cic2018_exp24b_signscorer,expert4,5802,5802,,5723,0.986384,79,0.013616,
20260827_161322_nfv3_cic2018_exp24b_signscorer,MEASURED_COMPUTE,,,,,,,,2.0303
