regime,rows,weighted_mass,mean_residual,kept,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
1,41980,0.0647,3.37,True,12,0,39579,0,372,2017,0
2,17610,0.363,45.11,False,0,0,17610,0,0,0,0
3,15618,0.2945,43.16,True,0,0,0,0,0,15618,0
4,21082,0.1417,14.71,True,0,0,0,0,21082,0,0
5,8707,0.1169,31.6,False,23,0,0,0,8668,16,0
6,140,0.0029,2370.71,True,0,0,0,0,0,0,140
7,523,0.0024,11.48,False,411,0,0,0,0,0,112
8,1894340,0.014,0.02,False,1740959,20651,0,131674,0,1056,0
