expert,tune_rows,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202122,0.6381,2022,71134,0.808,0.0078
2,202122,0.9231,4415,11128,0.8048,0.0115
3,202122,0.6024,47482,32878,0.6615,0.0355
4,202122,0.9018,8119,11729,0.7923,0.0057
