a,b,agreement
global,e1,0.5406
global,e2,0.4832
global,e3,0.5599
global,e4,0.5237
e1,e2,0.8349
e1,e3,0.9619
e1,e4,0.8683
e2,e3,0.8135
e2,e4,0.9177
e3,e4,0.8455
