class,rows,proposed,accepted
benign,3502926,2851,2782
bot,41542,30,4
brute_force,115040,37548,37338
ddos,264872,92266,73413
dos,60594,16238,16106
infiltration,37631,8807,8801
web_attacks,509,246,238
