class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,128670,75674,-52996,3494220,3494008
bot,5,5,0,41415,41415
brute_force,21110,21110,0,77344,77344
ddos,11,12,1,220078,220996
dos,2,26,24,19441,34076
infiltration,6622,6680,58,11889,11948
web_attacks,2078,39579,37501,229,241
