expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,41980,12761,41980,12,0,39579,0,372,2017,0
2,15618,12761,15618,0,0,0,0,0,15618,0
3,21082,12761,21082,0,0,0,0,21082,0,0
4,140,12761,140,0,0,0,0,0,0,140
