Class,Baseline_Accuracy,Baseline_F1,Ensemble_Accuracy,Ensemble_F1,XGBoost_Accuracy,XGBoost_F1
airplane,0.924,0.2529081702477077,0.96,0.37691401648998824,0.925,0.29309252217997467
automobile,0.018,0.032667876588021776,0.922,0.4949006977992485,0.619,0.3432215137233158
bird,0.493,0.21476802439555653,0.351,0.32025547445255476,0.282,0.24500434404865334
cat,0.0,0.0,0.405,0.2710843373493976,0.104,0.15580524344569288
deer,0.0,0.0,0.0,0.0,0.136,0.1951219512195122
dog,0.0,0.0,0.0,0.0,0.031,0.05927342256214149
frog,0.0,0.0,0.0,0.0,0.003,0.005982053838484547
horse,0.0,0.0,0.0,0.0,0.001,0.001998001998001998
ship,0.0,0.0,0.0,0.0,0.0,0.0
truck,0.0,0.0,0.0,0.0,0.0,0.0
