expert,class_id,threshold,score_scale,local_prior
Brute_Known,4,4.377582550048828,0.21473467350006104,0.5736835598945618
Brute_Known,8,4.377582550048828,0.21473467350006104,0.42631641030311584
DoS_Known,0,4.833738327026367,0.45689988136291504,0.04088510572910309
DoS_Known,1,4.833738327026367,0.45689988136291504,0.914197564125061
DoS_Known,2,4.833738327026367,0.45689988136291504,0.02184290811419487
DoS_Known,3,4.833738327026367,0.45689988136291504,0.02302807942032814
DoS_Known,5,4.833738327026367,0.45689988136291504,4.6347486204467714e-05
Web_Infiltration_Known,6,0.1271994262933731,0.6538840532302856,0.01652892492711544
Web_Infiltration_Known,9,0.1271994262933731,0.6538840532302856,0.67918860912323
Web_Infiltration_Known,10,0.1271994262933731,0.6538840532302856,0.009767092764377594
Web_Infiltration_Known,11,0.1271994262933731,0.6538840532302856,0.2945154011249542
