class,support,seen_in_trainval,is_unseen_attack,exp0_ood_rate,ood_detect_all_reject_rate,ood_detect_total_rate,known_expert_accept_rate,binary_benign_stop_rate,multi_accept_rate
normal,413933,True,False,1.4495099448461465e-05,0.00025366424034807566,0.0002681593397965371,0.00075857687113615,0.9989732637890674,0.0003213080377742292
portscan,158804,False,True,1.8891211808266793e-05,5.037656482204479e-05,6.926777663031157e-05,0.0033185562076522004,0.9966121760157175,0.0007241631193168938
ddos,128025,False,True,0.0,0.00019527436047646945,0.00019527436047646945,0.6377348174184729,0.36206990822105056,0.6307986721343488
bot,1956,False,True,0.0,0.0,0.0,0.0,1.0,0.0
