class,support,prec_baseline,prec_moe,recall_baseline,recall_moe,f1_baseline,f1_moe,delta_f1
normal,371478,0.9999757658006979,0.9995153055729088,0.9997011936103888,0.9992193346577725,0.9998384608550267,0.9993672982017807,-0.0004711626532459823
dos-hulk,46025,0.9985237609361093,0.9963931272679578,0.9993481803367735,0.9903530689842477,0.9989358005386152,0.9933639167057131,-0.00557188383290208
dos-goldeneye,2059,0.9828162291169451,0.9878345498783455,1.0,0.9859154929577465,0.9913336543090997,0.9868740884783666,-0.004459565830733148
ftp-patator,1587,0.9987413467589679,0.996776273372018,1.0,0.9741650913673598,0.9993702770780857,0.9853409815168898,-0.01402929556119592
ssh-patator,1179,1.0,0.9774696707105719,1.0,0.9567430025445293,1.0,0.9669952850407201,-0.033004714959279924
dos-slowloris,1159,0.9904926534140017,0.9981447124304267,0.9887834339948232,0.9283865401207938,0.9896373056994818,0.962002682163612,-0.027634623535869873
dos-slowhttptest,1100,0.978494623655914,0.9899396378269618,0.9927272727272727,0.8945454545454545,0.9855595667870036,0.9398280802292264,-0.04573148655777726
web-attack-brute-force,302,0.7749077490774908,0.4348894348894349,0.695364238410596,0.5860927152317881,0.7329842931937173,0.4992947813822285,-0.23368951181148878
web-attack-xss,130,0.4093567251461988,0.16322314049586778,0.5384615384615384,0.6076923076923076,0.46511627906976744,0.25732899022801303,-0.2077872888417544
infiltration,7,0.7777777777777778,1.0,1.0,0.5714285714285714,0.875,0.7272727272727273,-0.1477272727272727
web-attack-sql-injection,4,0.5,0.005376344086021506,0.5,0.25,0.5,0.010526315789473684,-0.48947368421052634
heartbleed,2,1.0,0.4,1.0,1.0,1.0,0.5714285714285714,-0.4285714285714286
