class,support,prec_baseline,prec_moe,recall_baseline,recall_moe,f1_baseline,f1_moe,delta_f1
normal,371478,0.9999838437801246,0.9994265283155009,0.9997038855598447,0.9992758655963475,0.9998438450727736,0.9993511912774263,-0.0004926537953472421
dos-hulk,46025,0.9985454387564587,0.9967015443762424,0.9993481803367735,0.9913742531233025,0.9989466482782586,0.9940307611868764,-0.004915887091382243
dos-goldeneye,2059,0.9846669861044561,0.9862745098039216,0.9980573093734822,0.9771733851384167,0.9913169319826338,0.9817028543547207,-0.009614077627913109
ftp-patator,1587,1.0,0.9974076474400518,1.0,0.9697542533081286,1.0,0.9833865814696485,-0.016613418530351476
ssh-patator,1180,0.9983079526226735,0.9809358752166378,1.0,0.9593220338983051,0.9991532599491956,0.9700085689802913,-0.029144690968904263
dos-slowloris,1159,0.9896640826873385,0.9953007518796992,0.99137187230371,0.913718723037101,0.9905172413793103,0.9527665317139001,-0.037750709665410165
dos-slowhttptest,1100,0.9767025089605734,0.9881422924901185,0.990909090909091,0.9090909090909091,0.983754512635379,0.946969696969697,-0.036784815665682036
web-attack-brute-force,301,0.7558528428093646,0.4511627906976744,0.7508305647840532,0.6445182724252492,0.7533333333333333,0.53077975376197,-0.22255357957136335
web-attack-xss,130,0.4276315789473684,0.17073170731707318,0.5,0.5384615384615384,0.46099290780141844,0.25925925925925924,-0.2017336485421592
infiltration,7,1.0,1.0,0.8571428571428571,0.7142857142857143,0.9230769230769231,0.8333333333333334,-0.08974358974358976
web-attack-sql-injection,4,1.0,0.005847953216374269,0.5,0.25,0.6666666666666666,0.011428571428571429,-0.6552380952380952
heartbleed,2,0.5,1.0,1.0,1.0,0.6666666666666666,1.0,0.33333333333333337
macro avg,425032,0.8859462695556964,0.7976609667294411,0.8822803133674842,0.8222479123637508,0.8695224114035467,0.7885847586446412,-0.08093765275890552
weighted avg,425032,0.9993105980011929,0.9983173374178022,0.999277701443656,0.9972213856839014,0.9992916231556906,0.99771567539483,-0.0015759477608606742
