true_class,support,benign_gate_rate,all_reject_rate,Brute_Known_accept_rate,Brute_Known_selected_rate,Brute_Known_margin,Brute_Known_stability,DoS_Known_accept_rate,DoS_Known_selected_rate,DoS_Known_margin,DoS_Known_stability,Web_Infiltration_Known_accept_rate,Web_Infiltration_Known_selected_rate,Web_Infiltration_Known_margin,Web_Infiltration_Known_stability
dos-goldeneye,2059,0.0,0.012141816415735794,0.0,0.0,-16.05898666381836,0.7042932510375977,0.9781447304516756,0.9781447304516756,4.102550029754639,0.8887271285057068,0.5332685769791161,0.009713453132588635,0.22281783819198608,0.7577357888221741
dos-hulk,46025,0.0,0.0007387289516567083,0.0,0.0,-12.752351760864258,0.7847814559936523,0.9937425312330256,0.9913742531233025,4.268204212188721,0.7548846006393433,0.8731341662140141,0.007887017925040738,1.1101495027542114,0.7908391952514648
dos-slowhttptest,1100,0.0,0.023636363636363636,0.0,0.0,-14.538938522338867,0.735304594039917,0.9309090909090909,0.9118181818181819,2.126469135284424,0.3604849874973297,0.26181818181818184,0.06363636363636363,-0.006710787769407034,0.8947949409484863
dos-slowloris,1159,0.001725625539257981,0.07592752372735116,0.0008628127696289905,0.0008628127696289905,-14.595993041992188,0.7909859418869019,0.9154443485763589,0.91458153580673,2.816084623336792,0.8542892932891846,0.47540983606557374,0.0060396893874029335,0.5862160921096802,0.839801013469696
ftp-patator,1587,0.0,0.001890359168241966,0.9697542533081286,0.9697542533081286,1.4305063486099243,0.998931348323822,0.0,0.0,-7.095518589019775,0.8216332197189331,0.998109640831758,0.02835538752362949,2.592104911804199,0.5373681783676147
heartbleed,2,0.0,0.0,0.0,0.0,-6.7721171379089355,0.977790117263794,1.0,1.0,4.718628883361816,0.9951115846633911,1.0,0.0,4.972263813018799,0.8796343803405762
infiltration,7,0.2857142857142857,0.0,0.0,0.0,-9.67590618133545,0.6617564558982849,0.42857142857142855,0.0,0.5022080540657043,0.664273738861084,0.7142857142857143,0.7142857142857143,4.939695835113525,0.7139794230461121
normal,371478,0.9990443579431353,0.00020997205756464717,4.0379241839355224e-05,4.0379241839355224e-05,-0.008662767708301544,0.0008634838741272688,0.000530314042823532,0.00045763140751269255,-0.0018984737107530236,0.0006451040389947593,0.000543773790103317,0.00022612375430038924,0.0012981586623936892,0.0007116974447853863
ssh-patator,1180,0.0,0.02457627118644068,0.9593220338983051,0.9593220338983051,1.9697164297103882,0.9966806173324585,0.002542372881355932,0.002542372881355932,-10.716130256652832,0.6376212239265442,0.2940677966101695,0.013559322033898305,-0.3993184268474579,0.929053544998169
web-attack-brute-force,301,0.0,0.0,0.029900332225913623,0.029900332225913623,-15.082618713378906,0.7783721089363098,0.059800664451827246,0.04983388704318937,-6.397474765777588,0.8708271980285645,0.9966777408637874,0.9169435215946844,2.837362051010132,0.9533500075340271
web-attack-sql-injection,4,0.0,0.0,0.0,0.0,-11.741226196289062,0.879071831703186,0.5,0.5,-1.6306549310684204,0.668107271194458,1.0,0.5,2.6195154190063477,0.5792595148086548
web-attack-xss,130,0.0,0.007692307692307693,0.007692307692307693,0.007692307692307693,-16.312206268310547,0.7538003921508789,0.0,0.0,-6.9835710525512695,0.8903111219406128,0.9923076923076923,0.9846153846153847,2.4413020610809326,0.9420710206031799
