class,support,expert,accept_rate,selected_rate,mean_stability,mean_margin
normal,413933,Brute_Known,0.00011354495,0.00011354495,0.00094025204,-0.008842868
normal,413933,DoS_Known,0.0004493481,0.00038412013,0.0006954081,-0.0038038748
normal,413933,Web_Infiltration_Known,0.0005169919,0.0002609118,0.00082193874,0.00086972234
portscan,158804,Brute_Known,1.25941415e-05,1.25941415e-05,0.003257871,-0.018654533
portscan,158804,DoS_Known,0.00071786606,0.00071786606,0.0024678337,-0.014990705
portscan,158804,Web_Infiltration_Known,0.0033122592,0.002588096,0.002663732,0.0073952144
ddos,128025,Brute_Known,0.0,0.0,0.5538745,-5.011791
ddos,128025,DoS_Known,0.635329,0.635329,0.52957714,1.9091222
ddos,128025,Web_Infiltration_Known,0.63320446,0.0024057801,0.28363672,2.8782847
bot,1956,Brute_Known,0.0,0.0,0.0,0.0
bot,1956,DoS_Known,0.0,0.0,0.0,0.0
bot,1956,Web_Infiltration_Known,0.0,0.0,0.0,0.0
