method,bucket,rows,accuracy,macro_f1,tail_f1
realistic_oracle,all,1757021,1.0,1.0,1.0
realistic_oracle,seen_same_label,0,,,
realistic_oracle,seen_diff_label,0,,,
realistic_oracle,unseen,1757021,1.0,1.0,1.0
xgboost_full,all,1757021,0.994035927857436,0.7762824725803803,0.4794333919331772
xgboost_full,seen_same_label,0,,,
xgboost_full,seen_diff_label,0,,,
xgboost_full,unseen,1757021,0.994035927857436,0.7762824725803803,0.4794333919331772
xgboost_c0,all,1757021,0.9823878029915408,0.7918665202342101,0.5190582312125037
xgboost_c0,seen_same_label,0,,,
xgboost_c0,seen_diff_label,0,,,
xgboost_c0,unseen,1757021,0.9823878029915408,0.7918665202342101,0.5190582312125037
tabpfn_plain,all,1757021,0.9969630414206774,0.7541302294126561,0.42782933693028435
tabpfn_plain,seen_same_label,0,,,
tabpfn_plain,seen_diff_label,0,,,
tabpfn_plain,unseen,1757021,0.9969630414206774,0.7541302294126561,0.42782933693028435
ours_c0,all,1757021,0.9916722680036266,0.8039128149030838,0.5459797422267426
ours_c0,seen_same_label,0,,,
ours_c0,seen_diff_label,0,,,
ours_c0,unseen,1757021,0.9916722680036266,0.8039128149030838,0.5459797422267426
distpfn,all,1757021,0.9470951115552972,0.6040900211893993,0.2715239642767373
distpfn,seen_same_label,0,,,
distpfn,seen_diff_label,0,,,
distpfn,unseen,1757021,0.9470951115552972,0.6040900211893993,0.2715239642767373
