K,beta,tune_expert_balanced_nll
2,0.0,0.377973
2,0.5,0.362505
2,1.0,0.39985
4,0.0,0.299063
4,0.5,0.296379
4,1.0,0.346999
8,0.0,0.231306
8,0.5,0.252514
8,1.0,0.309101
