expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,48196,normgain,0.8309,738,7414,0.7884,0.2096
2,48196,normgain,0.933,45,3183,0.6738,0.8068
3,48196,normgain,0.6789,4845,10633,0.7723,-0.0613
4,48196,normgain,0.8781,13,5862,0.696,0.2514
5,48196,normgain,0.9296,27,3368,0.746,0.0097
