a,b,agreement
global,e1,0.8607
global,e2,0.9373
global,e3,0.8506
global,e4,0.783
global,e5,0.8245
e1,e2,0.8054
e1,e3,0.9789
e1,e4,0.7199
e1,e5,0.9406
e2,e3,0.7949
e2,e4,0.7323
e2,e5,0.7687
e3,e4,0.7105
e3,e5,0.9472
e4,e5,0.6733
