class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,14897,14897,0,19970,19970
bot,1,1,0,19930,19930
brute_force,6976,6976,0,19998,19998
ddos,6,6,0,19736,19736
dos,7,7,0,12840,12840
infiltration,7,7,0,5364,5364
web_attacks,305,305,0,481,481
