a,b,gain_pearson_r
e1,e2,0.6081
e1,e3,0.8592
e1,e4,0.5189
e1,e5,0.7101
e2,e3,0.493
e2,e4,0.6881
e2,e5,0.675
e3,e4,0.4421
e3,e5,0.532
e4,e5,0.7171
