context,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
ref(D_global),0.16597,0.16597,0.165964,0.165964,0.165953,0.16597,0.00421
C0,0.749788,0.042485,0.042485,0.042385,0.042385,0.042385,0.038087
expert1,0.11157,0.11157,0.11157,0.11157,0.11157,0.399665,0.042487
expert2,0.200279,0.200917,0.200988,0.200988,0.139108,0.04871,0.009009
expert3,0.15219,0.15219,0.15219,0.15219,0.15219,0.15219,0.086857
expert4,0.122289,0.122228,0.122228,0.122228,0.122228,0.342252,0.046546
expert5,0.11905,0.11905,0.11905,0.11905,0.11911,0.359353,0.045336
