expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,15363,12761,15363,0,0,0,0,0,15353,10
2,39492,12761,39492,2,0,38556,0,835,99,0
3,1929948,12761,186000,169343,11198,760,1365,2089,1245,0
4,242,12761,242,0,0,0,0,0,0,242
