expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202121,normgain,0.9627,308,7237,0.8077,0.7462
2,202121,normgain,0.8698,15741,10572,0.7585,0.3601
3,202121,normgain,0.8413,1465,30618,0.7179,0.5088
4,202121,normgain,0.9733,27,5373,0.6548,0.7769
