K,beta,tune_expert_balanced_nll
2,0.0,1.787598
2,0.5,4.226576
2,1.0,8.180816
4,0.0,1.603076
4,0.5,3.529362
4,1.0,7.315943
8,0.0,1.220314
8,0.5,3.252227
8,1.0,7.238996
