a,b,agreement
global,e1,0.7727
global,e2,0.8328
global,e3,0.9523
global,e4,0.8315
e1,e2,0.9353
e1,e3,0.7798
e1,e4,0.9301
e2,e3,0.8408
e2,e4,0.9839
e3,e4,0.8422
