cluster,rows,weighted_mass,mean_residual,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
0,15363,0.42543096462975183,29.451778516509794,0,0,0,0,0,15353,10
1,39492,0.22807795836939448,3.9326724550882157,2,0,38556,0,835,99,0
2,1929948,0.07759746723516817,0.02737887043083085,1738704,20642,18633,131268,18784,1917,0
3,242,0.007116456847557695,234.55479594996652,0,0,0,0,0,0,242
