round,expert,coverage,regime_tune_rows,marginal,action
0,3,0.5226,3,,dropped(min-support)
0,4,0.0239,24,,dropped(min-support)
0,5,0.0432,31,,dropped(min-support)
0,6,0.1205,0,,dropped(min-support)
0,1,0.0657,1865,6.3583,kept(prune off)
0,2,0.4133,65,2.7118,kept(prune off)
0,7,0.2695,83420,0.0024,kept(prune off)
0,8,0.0249,86,0.0,kept(prune off)
