class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,45228,44529,-699,3468147,3468141
bot,4,4,0,41422,41401
brute_force,21110,21110,0,115020,115020
ddos,5,11,6,244869,245565
dos,92,92,0,39235,39235
infiltration,31996,31996,0,4435,12547
web_attacks,11077,2989,-8088,474,474
