model,model_index,class,class_index,target_cal_fpr,threshold,cal_fpr_weighted,cal_recall,cal_positive_rows,cal_negative_rows
global,0,backdoor,0,0.001,0.05761911480247685,0.0009973195348957208,1.0,4292,119259
global,0,backdoor,0,0.01,0.02102471631643658,0.009998633157766784,1.0,4292,119259
global,0,benign,1,0.001,0.9014043033874621,0.0009996007719679572,0.6903973509933775,604,122947
global,0,benign,1,0.01,0.50963965109361,0.00998931122409631,0.9768211920529801,604,122947
global,0,ddos,2,0.001,0.5672234511890656,0.0009262013141934499,0.9961345381526104,19920,103631
global,0,ddos,2,0.01,0.2403656166343714,0.009850545098636294,0.998343373493976,19920,103631
global,0,dos,3,0.001,0.194611965714896,0.0008145524501364887,0.95407813570939,2918,120633
global,0,dos,3,0.01,0.08998883160769013,0.00999775454844745,0.9917751884852639,2918,120633
global,0,injection,4,0.001,0.4564767050614007,0.0009990031253664497,0.944480135249366,29575,93976
global,0,injection,4,0.01,0.14195234903642207,0.00890167188389496,0.9593913778529163,29575,93976
global,0,mitm,5,0.001,0.24426751283872764,0.0009997226504522543,0.9571428571428572,420,123131
global,0,mitm,5,0.01,0.11315760964997591,0.009997660913708383,0.9833333333333333,420,123131
global,0,password,6,0.001,0.11073665705385481,0.0009998628967894285,0.9986081285293884,25146,98405
global,0,password,6,0.01,0.055190685078906086,0.009998659574227105,0.9990455738487235,25146,98405
global,0,ransomware,7,0.001,0.18300272819332522,0.0007236037088207049,0.9386281588447654,277,123274
global,0,ransomware,7,0.01,0.04325490399789497,0.009773306805631885,0.9602888086642599,277,123274
global,0,scanning,8,0.001,0.2857404431971686,0.0007740338890638783,0.28793897981884636,6293,117258
global,0,scanning,8,0.01,0.09154704901772963,0.009643653105074222,0.8431590656284761,6293,117258
global,0,xss,9,0.001,0.21308047905340227,0.0009983111031749582,0.9643464493051076,34106,89445
global,0,xss,9,0.01,0.08880649944377567,0.009362247303587812,0.9969506831642526,34106,89445
expert1,1,backdoor,0,0.001,0.04936549429992087,0.000800377748841431,1.0,4292,119259
expert1,1,backdoor,0,0.01,0.027705559434250956,0.00972749688456349,1.0,4292,119259
expert1,1,benign,1,0.001,0.5869186214707429,0.000999364312903687,0.6721854304635762,604,122947
expert1,1,benign,1,0.01,0.18569399237860748,0.00999982757181262,0.9470198675496688,604,122947
expert1,1,ddos,2,0.001,0.7313333098800996,0.0009980146317813909,0.9941767068273092,19920,103631
expert1,1,ddos,2,0.01,0.39075140055994295,0.009725147644457748,0.998644578313253,19920,103631
expert1,1,dos,3,0.001,0.27254117459491,0.0009943649273966185,0.912268677176148,2918,120633
expert1,1,dos,3,0.01,0.131115885567675,0.009995781694904825,0.9763536668951337,2918,120633
expert1,1,injection,4,0.001,0.49176840867713095,0.000998031254905024,0.9550972104818258,29575,93976
expert1,1,injection,4,0.01,0.14433914829179714,0.009993632173033484,0.9623668639053254,29575,93976
expert1,1,mitm,5,0.001,0.5241963287521036,0.0003706157947519253,0.8857142857142857,420,123131
expert1,1,mitm,5,0.01,0.22914120629818027,0.009995496174503463,0.9880952380952381,420,123131
expert1,1,password,6,0.001,0.2843392207210885,0.0009747614064152914,0.997892308915931,25146,98405
expert1,1,password,6,0.01,0.06578916485888041,0.009993745421582434,0.998528593016782,25146,98405
expert1,1,ransomware,7,0.001,0.7102017241089985,0.0007161828984835196,0.628158844765343,277,123274
expert1,1,ransomware,7,0.01,0.43467966143931835,0.009306724673333459,0.9350180505415162,277,123274
expert1,1,scanning,8,0.001,0.5692423703492026,0.0007209229129527061,0.6655013507071349,6293,117258
expert1,1,scanning,8,0.01,0.27347729899885725,0.00993698822795927,0.9191164786270459,6293,117258
expert1,1,xss,9,0.001,0.34453225535719106,0.0005166171994893047,0.9520319005453586,34106,89445
expert1,1,xss,9,0.01,0.3184775209036702,0.009833229017886316,0.9598897554682461,34106,89445
expert2,2,backdoor,0,0.001,0.06725488010343778,0.0009980696049602812,1.0,4292,119259
expert2,2,backdoor,0,0.01,0.020262212783850823,0.009998356887830578,1.0,4292,119259
expert2,2,benign,1,0.001,0.3607705798630272,0.0009993277622107207,0.793046357615894,604,122947
expert2,2,benign,1,0.01,0.12553745810304415,0.009997551345460024,0.9254966887417219,604,122947
expert2,2,ddos,2,0.001,0.6118292125225208,0.000900263406468862,0.9934236947791165,19920,103631
expert2,2,ddos,2,0.01,0.5260271311360484,0.009299018071104647,0.9948293172690763,19920,103631
expert2,2,dos,3,0.001,0.22149752944781367,0.0009533062969363835,0.9455106237148732,2918,120633
expert2,2,dos,3,0.01,0.14506399719546367,0.009997833239420637,0.9677861549006168,2918,120633
expert2,2,injection,4,0.001,0.6074701248770126,0.0009983259592821485,0.9465765004226543,29575,93976
