expert,class,block_share,global_recall,own_recall,best_other_recall,H,D,outside_FP,outside_FPR,correctable_global_error_fraction,global_correct_damage_fraction,unique_global_corrections
1,injection,0.9240912470164729,0.9610689349842505,0.9659026578217764,0.9973871768445806,485,152,14165,0.0064303587382060915,0.1808351976137211,0.002295760395112447,667
2,scanning,0.9937750111160516,0.07497097362746724,0.902139658318129,0.7040968651517665,4987,0,54321,0.023975435341224368,0.8942083557468173,0.0,877
3,dos,1.0,0.9822335025380711,0.9979517321221836,0.9871760619823671,353,0,52697,0.023428542212678365,0.8847117794486216,0.0,1939
4,injection,0.9408450704225352,0.9610689349842505,0.9973871768445806,0.9659026578217764,2529,27,216303,0.09819314409814275,0.9429530201342282,0.00040779954386865836,1995
5,ransomware,1.0,0.9139633286318759,0.9661495063469676,0.9661495063469676,37,0,43586,0.019192307929409506,0.6065573770491803,0.0,377
6,benign,0.26620967741935486,0.8631576162821457,0.8096373741607893,0.8049911076563689,19894,98799,4771,0.005983037818166313,0.09860865341244232,0.0776382946120207,217
7,xss,0.9593686393486693,0.8936438139442903,0.9996161161423163,0.9806225898200981,36439,0,252906,0.13118422465426852,0.9963905827021411,0.0,3930
