region,model,rows,classes_present,accuracy,macro_f1_present
1,global,76017,6,0.8935632818974703,0.36374161455541976
1,expert1,76017,6,0.8873146796111396,0.35038243364142146
1,train_region_constant,76017,6,0.8662536011681597,0.15472238082147363
2,global,10048,9,0.5132364649681529,0.28771541887610125
2,expert2,10048,9,0.5205015923566879,0.31913536044695934
2,train_region_constant,10048,9,0.3801751592356688,0.06121206294266576
3,global,47541,9,0.5831177299594035,0.15884957816305978
3,expert3,47541,9,0.5574346353673671,0.18667420387501546
3,train_region_constant,47541,9,0.4666498390862624,0.07070533230071996
4,global,40748,10,0.5920535977225876,0.15141640606925183
4,expert4,40748,10,0.21188770000981644,0.18484440835119637
4,train_region_constant,40748,10,0.04132718170216943,0.007937405731523378
5,global,8544,3,0.07736423220973783,0.04816487626654407
5,expert5,8544,3,0.07818352059925093,0.04878957007838642
5,train_region_constant,8544,3,0.07584269662921349,0.046997389033942565
6,global,1976859,10,0.9157689041049463,0.47930450943586295
6,expert6,1976859,10,0.9128314158976437,0.4937099239262488
6,train_region_constant,1976859,10,0.10629943764325124,0.019217118625622885
7,global,111966,9,0.7466998910383509,0.10954485817043974
7,expert7,111966,9,0.519720272225497,0.17774633719856453
7,train_region_constant,111966,9,0.25875712269796186,0.045681237297408944
