region,model,rows,accuracy,H,D
1,global,76017,0.8935632818974703,0,0
1,expert1,76017,0.8873146796111396,1295,1770
1,expert2,76017,0.8767512530091953,843,2121
1,expert3,76017,0.8807240485680835,989,1965
1,expert4,76017,0.8868937211413237,1110,1617
1,expert5,76017,0.8854729863056948,1059,1674
1,expert6,76017,0.8885117802596788,1314,1698
1,expert7,76017,0.8788560453582751,2881,3999
2,global,10048,0.5132364649681529,0,0
2,expert1,10048,0.5361265923566879,4258,4028
2,expert2,10048,0.5205015923566879,4352,4279
2,expert3,10048,0.527468152866242,4236,4093
2,expert4,10048,0.540406050955414,4274,4001
2,expert5,10048,0.5343351910828026,4216,4004
2,expert6,10048,0.5360270700636943,4145,3916
2,expert7,10048,0.5152269108280255,4191,4171
3,global,47541,0.5831177299594035,0,0
3,expert1,47541,0.5547001535516712,3490,4841
3,expert2,47541,0.4865694873898319,181,4771
3,expert3,47541,0.5574346353673671,3149,4370
3,expert4,47541,0.49330051955154497,290,4560
3,expert5,47541,0.5672998043793778,3351,4103
3,expert6,47541,0.5360846427294336,2190,4426
3,expert7,47541,0.569929113817547,3890,4517
4,global,40748,0.5920535977225876,0,0
4,expert1,40748,0.18899087071758122,977,17401
4,expert2,40748,0.18258564837538038,1001,17686
4,expert3,40748,0.18864729557278884,1031,17469
4,expert4,40748,0.21188770000981644,2064,17555
4,expert5,40748,0.18820555610091294,1146,17602
4,expert6,40748,0.19021792480612545,987,17361
4,expert7,40748,0.19924904289781092,1788,17794
5,global,8544,0.07736423220973783,0,0
5,expert1,8544,0.07677902621722846,3,8
5,expert2,8544,0.07783239700374532,11,7
5,expert3,8544,0.07806647940074907,10,4
5,expert4,8544,0.07806647940074907,12,6
5,expert5,8544,0.07818352059925093,11,4
5,expert6,8544,0.07713014981273408,4,6
5,expert7,8544,0.07841760299625468,12,3
6,global,1976859,0.9157689041049463,0,0
6,expert1,1976859,0.9062720204121791,22839,41613
6,expert2,1976859,0.9055127351014918,23770,44045
6,expert3,1976859,0.9102277906517359,22802,33756
6,expert4,1976859,0.8330477793307464,23376,186904
6,expert5,1976859,0.9096920923545888,22848,34861
6,expert6,1976859,0.9128314158976437,22764,28571
6,expert7,1976859,0.8480711067405414,23458,157287
7,global,111966,0.7466998910383509,0,0
7,expert1,111966,0.5514620509797618,26765,48625
7,expert2,111966,0.4833788828751585,21334,50817
7,expert3,111966,0.40824000142900524,11042,48938
7,expert4,111966,0.28931104085168713,712,51924
7,expert5,111966,0.5452280156476073,26807,49365
7,expert6,111966,0.5449511458835719,22113,44702
7,expert7,111966,0.519720272225497,27581,52995
