class,winner,rows
brute_force,bf_bot,799
benign,global,797
bot,bf_bot,792
ddos,flood,787
infiltration,global,584
dos,flood,507
web_attacks,tail,335
dos,bf_bot,288
infiltration,flood,203
web_attacks,flood,89
web_attacks,global,85
ddos,global,13
infiltration,tail,13
bot,tail,4
bot,global,4
dos,global,4
benign,flood,3
brute_force,tail,1
dos,tail,1
