Class_ID,Class_Name,Expert_ID,Expert_Name,S_P,S_R,S_F1,S_Conf,S_Ent,S_Eng,T_P,T_R,T_F1,T_Conf,T_Ent,T_Eng
0,benign,0,Global_Router,1.00,1.00,1.00,1.00,0.00,-7.28,1.00,1.00,1.00,1.00,0.00,-7.28
0,benign,1,Spec_Group1,-,-,-,-,-,-,0.99,1.00,1.00,1.00,0.00,-6.60
0,benign,2,Spec_Group2,-,-,-,-,-,-,0.81,1.00,0.89,1.00,0.00,-6.16
0,benign,3,Spec_Group3,-,-,-,-,-,-,0.80,1.00,0.89,1.00,0.00,-6.37
0,benign,4,Spec_Group4,-,-,-,-,-,-,0.80,1.00,0.89,1.00,0.00,-6.32
0,benign,5,Spec_Rand1,-,-,-,-,-,-,0.94,1.00,0.97,1.00,0.00,-6.92
0,benign,6,Spec_Rand2,-,-,-,-,-,-,0.99,1.00,1.00,1.00,0.00,-7.02
0,benign,7,Spec_Rand3,-,-,-,-,-,-,1.00,1.00,1.00,1.00,0.00,-7.27
0,benign,8,Spec_Rand4,-,-,-,-,-,-,0.93,1.00,0.96,1.00,0.00,-7.00
0,benign,9,Spec_Rand5,-,-,-,-,-,-,0.88,1.00,0.93,1.00,0.00,-6.50
1,bot,0,Global_Router,0.96,0.71,0.82,0.86,0.11,-6.35,0.96,0.71,0.82,0.86,0.11,-6.35
1,bot,1,Spec_Group1,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.06
1,bot,2,Spec_Group2,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.17
1,bot,3,Spec_Group3,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.38
1,bot,4,Spec_Group4,-,-,-,-,-,-,0.89,0.75,0.81,0.87,0.10,-3.61
1,bot,5,Spec_Rand1,-,-,-,-,-,-,0.90,0.73,0.80,0.87,0.11,-6.04
1,bot,6,Spec_Rand2,-,-,-,-,-,-,0.90,0.73,0.80,0.86,0.11,-5.98
1,bot,7,Spec_Rand3,-,-,-,-,-,-,0.92,0.72,0.81,0.86,0.11,-6.42
1,bot,8,Spec_Rand4,-,-,-,-,-,-,0.92,0.72,0.81,0.87,0.11,-5.76
1,bot,9,Spec_Rand5,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-5.99
2,ddos,0,Global_Router,1.00,1.00,1.00,1.00,0.00,-7.52,1.00,1.00,1.00,1.00,0.00,-7.52
