run,seed,test_rows,tau_pre,accepted,prediction_changed,accepted_same_label,helpful,harmful,global_macro_avg,system_macro_avg,delta_macro_avg,global_tail_avg,system_tail_avg,delta_tail_avg,global_infiltration,system_infiltration,delta_infiltration,global_web_attacks,system_web_attacks,delta_web_attacks,cal_rows_before_hash_mask,cal_benign_fraction_before_hash_mask,cal_rows_after_hash_mask,positive_gain_pairs,positive_gain_survival_after_oof
20260904_010654_nfv3_cic2018_exp31_c0alloc,42,4023114,0.8931411534547805,38498,260,38238,98,162,0.7623017093196791,0.7625575682660433,0.0002558589463641514,0.547973921948764,0.5485740201447112,0.0006000981959471963,0.4007252946509519,0.4025255892387936,0.0018002945878416998,0.2447513812154696,0.2447513812154696,0.0,234163,0.21352647514765355,116378,206836,0.19806029898083505
20260904_010911_nfv3_cic2018_exp31_c0alloc,43,4023114,inf,0,0,0,0,0,0.7614295004502208,0.7614295004502208,0.0,0.5513128205837954,0.5513128205837954,0.0,0.4065096119115463,0.4065096119115463,0.0,0.249296567248171,0.249296567248171,0.0,234163,0.21352647514765355,116265,1163949,0.6593570680502324
20260903_235255_nfv3_cic2018_exp31_c0alloc,44,4023114,inf,0,0,0,0,0,0.7581516590120041,0.7581516590120041,0.0,0.546908584827575,0.546908584827575,0.0,0.4035122571417219,0.4035122571417219,0.0,0.2387080494574817,0.2387080494574817,0.0,234163,0.21352647514765355,116295,998761,0.830288727733662
20260904_021924_nfv3_cic2018_exp31_c0alloc,45,4023114,inf,0,0,0,0,0,0.766184847849195,0.766184847849195,0.0,0.5584774087751952,0.5584774087751952,0.0,0.429858756549961,0.429858756549961,0.0,0.2470680218921032,0.2470680218921032,0.0,234163,0.21352647514765355,115093,424033,0.4464416684550495
20260903_235413_nfv3_cic2018_exp31_c0alloc,46,4023114,inf,0,0,0,0,0,0.769423735452656,0.769423735452656,0.0,0.5673735318629932,0.5673735318629932,0.0,0.4461234717898094,0.4461234717898094,0.0,0.2574916759156492,0.2574916759156492,0.0,234163,0.21352647514765355,115937,526265,0.08057727570710574
20260904_022152_nfv3_cic2018_exp31_c0alloc,47,4023114,inf,0,0,0,0,0,0.761481851751048,0.761481851751048,0.0,0.5473677479523001,0.5473677479523001,0.0,0.3975303802430419,0.3975303802430419,0.0,0.246067415730337,0.246067415730337,0.0,234163,0.21352647514765355,116517,606957,0.5639411029117384
20260904_025507_nfv3_cic2018_exp31_c0alloc,48,4023114,inf,0,0,0,0,0,0.7676659966726097,0.7676659966726097,0.0,0.5620478577133818,0.5620478577133818,0.0,0.4399823963032236,0.4399823963032236,0.0,0.2477040146943059,0.2477040146943059,0.0,234163,0.21352647514765355,115459,890579,0.6326996257490913
