expert,true_class,true_role,predicted_class,count,true_class_test_support,share_of_test_support
brute_force,brute_force,target known,brute_force,99798,100000,0.99798
brute_force,unseen::dos,target unseen,brute_force,21110,60594,0.3483843284813678
tail,bot,target known,bot,41316,41542,0.9945597226902894
tail,infiltration,target known,infiltration,35832,37631,0.9521936701124073
tail,web_attacks,target known,infiltration,1,509,0.0019646365422396855
tail,web_attacks,target known,web_attacks,223,509,0.4381139489194499
tail,unseen::ddos,target unseen,infiltration,62571,100000,0.62571
tail,unseen::dos,target unseen,infiltration,2189,60594,0.03612568901211341
tail,benign_diagnostic,benign diagnostic,bot,5,100000,5e-05
tail,benign_diagnostic,benign diagnostic,infiltration,73585,100000,0.73585
tail,benign_diagnostic,benign diagnostic,web_attacks,30,100000,0.0003
