role,branch,count,share_of_role,accuracy
known,all_out,1139,0.0063389766365022655,0.0
known,argmin,68529,0.3813904564731025,0.9999854076376424
known,owner_only,110014,0.6122705668903953,0.9875197702110641
known,ALL,179682,1.0,0.986014180607963
unseen,all_out,25236,0.15714161176631755,1.0
unseen,argmin,62592,0.38975304183219794,0.0
unseen,owner_only,72766,0.4531053464014845,0.0
unseen,ALL,160594,1.0,0.15714161176631755
benign,all_out,2426,0.02426,0.0
benign,argmin,71777,0.71777,0.0
benign,owner_only,25797,0.25797,0.9915494049695701
benign,ALL,100000,1.0,0.25579
