true_class,benign,bot,brute_force,infiltration,unseen,web_attacks
benign,25579,1,0,71941,2426,53
bot,226,41316,0,0,0,0
brute_force,0,0,99798,0,202,0
infiltration,973,0,0,35832,826,0
unseen,49488,0,21110,64760,25236,0
web_attacks,174,0,0,1,111,223
