role,branch,count,share_of_role,accuracy
known,all_out,1389,0.007730323571643236,0.0
known,argmin,23855,0.13276232455115147,0.9948438482498428
known,owner_only,154438,0.8595073518772053,0.9986920317538429
known,ALL,179682,1.0,0.9904609254126735
unseen,all_out,9399,0.05852647047834913,1.0
unseen,argmin,92737,0.5774624207629176,0.0
unseen,owner_only,58458,0.3640111087587332,0.0
unseen,ALL,160594,1.0,0.05852647047834913
benign,all_out,276,0.00276,0.0
benign,argmin,81455,0.81455,0.0
benign,owner_only,18269,0.18269,0.7807761782254091
benign,ALL,100000,1.0,0.14264
