id_quantile_tau,threshold,id_retain,ood_detect,ood_in
0.01,2.397336483001709,0.99,0.006,0.994
0.02,2.411867141723633,0.98,0.01,0.99
0.05,2.4494807720184326,0.95,0.024,0.976
0.1,2.4885458946228027,0.9,0.055,0.945
0.2,2.5923330783843994,0.8,0.129,0.871
0.3,2.6978025436401367,0.7,0.224,0.776
0.4,2.862823009490967,0.6,0.369,0.631
0.5,3.0572659969329834,0.5,0.496,0.504
0.6,3.3172998428344727,0.4,0.658,0.342
0.7,3.5815298557281494,0.3,0.763,0.237
0.8,3.8860578536987305,0.2,0.899,0.101
0.9,4.290004730224609,0.1,0.991,0.009
