class,support,precision,recall,f1
airplane,92,0.3194444444444444,0.25,0.2804878048780488
automobile,107,0.4519230769230769,0.4392523364485981,0.44549763033175355
bird,107,0.24,0.056074766355140186,0.09090909090909091
cat,105,0.2727272727272727,0.02857142857142857,0.05172413793103448
deer,88,0.26277372262773724,0.4090909090909091,0.32
dog,100,0.25252525252525254,0.25,0.25125628140703515
frog,103,0.3424657534246575,0.4854368932038835,0.40160642570281124
horse,106,0.25806451612903225,0.37735849056603776,0.3065134099616858
ship,105,0.4,0.49523809523809526,0.4425531914893617
truck,87,0.2892561983471074,0.40229885057471265,0.33653846153846156
macro avg,1000,0.3089180237148581,0.31933217700488054,0.29270864341492836
weighted avg,1000,0.31023173516840336,0.317,0.2915198744085704
