expert_idx,expert_name,selected_rate,avg_weight,val_acc,assigned_classes
0,Anchor_Global,0.0013647629519893364,0.013107672333717346,0.9991224143617773,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14"
1,Balanced_Global,0.0009210382098270004,0.1044265478849411,0.997367243085332,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14"
2,Tail_Expert,0.1282629678997854,0.1978672593832016,0.9878153938439621,"1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14"
3,ConfMat_Focus,0.7917499018855649,0.5664992332458496,0.9967773799234474,"2, 3, 4, 5, 6, 9, 10, 11, 12, 14"
4,Spec_Group1_volume,0.0069899905598003065,0.031980883330106735,0.9216105815989107,"0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11"
5,Spec_Group2_timing,0.010539788497098995,0.023088373243808746,0.801748274418961,"0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11"
6,Spec_Group3_packet,0.0002687098040186258,0.004209964070469141,0.856946680556871,"0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 13, 14"
7,Spec_Group4_tcp,0.056370720531196856,0.04664510115981102,0.700795152458253,"0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11"
8,Rand_1_volume,0.0004207429826081115,0.0048554628156125546,0.9602555842559153,"1, 2, 3, 4, 5, 6, 8, 9, 10"
9,Rand_2_packet,0.0025916353466533255,0.0042738416232168674,0.8695091086776756,"0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14"
10,Rand_3_volume,0.0005197413314570789,0.0030457854736596346,0.9446322362564348,"0, 1, 5, 6, 9, 10, 11, 12, 13, 14"
