class_id,class_name,baseline_precision,baseline_recall,baseline_f1,cascade_precision,cascade_recall,cascade_f1,delta_f1,is_focus_class
0,bot,0.9058441558441559,0.7099236641221374,0.7960057061340942,0.6777003484320557,0.989821882951654,0.8045501551189245,0.00854444898483031,1
1,ddos,0.9999609405515194,0.9998047332656409,0.9998828308076863,0.9999609405515194,0.9998047332656409,0.9998828308076863,0.0,0
2,dos-goldeneye,0.9985401459854014,0.996600291403594,0.997569275644142,0.9985401459854014,0.996600291403594,0.997569275644142,0.0,0
3,dos-hulk,0.9985028640860961,0.9998696360673547,0.9991857826799692,0.9985028640860961,0.9998696360673547,0.9991857826799692,0.0,0
4,dos-slowhttptest,0.9863263445761167,0.9836363636363636,0.9849795175238962,0.9863263445761167,0.9836363636363636,0.9849795175238962,0.0,0
5,dos-slowloris,0.9956784788245462,0.993960310612597,0.9948186528497409,0.9956784788245462,0.993960310612597,0.9948186528497409,0.0,0
6,ftp-patator,1.0,0.9993702770780857,0.9996850393700787,1.0,0.9993702770780857,0.9996850393700787,0.0,0
7,heartbleed,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
8,infiltration,1.0,0.7142857142857143,0.8333333333333334,1.0,0.7142857142857143,0.8333333333333334,0.0,1
9,normal,0.9996610870742131,0.9993443892479836,0.9995027130742454,0.9999163216770898,0.9989967835472502,0.9994563411096364,-4.637196460899329e-05,0
10,portscan,0.9938690606525071,0.9995910149122255,0.9967218257391577,0.9938690606525071,0.9995910149122255,0.9967218257391577,0.0,0
11,ssh-patator,1.0,0.9991518235793045,0.9995757318625371,1.0,0.9991518235793045,0.9995757318625371,0.0,0
12,web-attack-�-brute-force,0.7443820224719101,0.8803986710963455,0.806697108066971,0.7877551020408163,0.6411960132890365,0.706959706959707,-0.09973740110726403,1
13,web-attack-�-sql-injection,1.0,0.75,0.8571428571428571,0.5714285714285714,1.0,0.7272727272727273,-0.1298701298701298,1
14,web-attack-�-xss,0.5263157894736842,0.3076923076923077,0.3883495145631068,0.44502617801047123,0.6538461538461539,0.5295950155763239,0.14124550101321715,1
