method,bucket,rows,accuracy,macro_f1,tail_f1
realistic_oracle,all,4023110,0.9902776707572003,0.8563678810225782,0.7641222915384948
realistic_oracle,seen_same_label,1955921,0.9994263571994983,0.8578081634671725,0.6683263205305172
realistic_oracle,seen_diff_label,48156,0.2196403355760445,0.20193329978305935,0.3059489441139447
realistic_oracle,unseen,2019033,0.9997954466321254,0.9962908983308616,0.9913847360996336
xgboost_full,all,4023110,0.9848597229506526,0.7548394263721435,0.5331314087418374
xgboost_full,seen_same_label,1955921,0.999852754789176,0.9755625916332383,0.9430069114484644
xgboost_full,seen_diff_label,48156,0.12501038292216962,0.05228955679074603,0.0006740192832672488
xgboost_full,unseen,2019033,0.9908436365329343,0.7738188525721602,0.4806027754875817
xgboost_c0,all,4023110,0.9813934990591856,0.7524630997930005,0.5259148780773609
xgboost_c0,seen_same_label,1955921,0.9958433904027821,0.9028137258963739,0.7743268380271986
xgboost_c0,seen_diff_label,48156,0.098056316969848,0.058459795625668165,0.041740108305989405
xgboost_c0,unseen,2019033,0.9884637843957974,0.7812579632801074,0.4950462275172722
tabpfn_plain,all,4023110,0.9866203012097606,0.728197651703745,0.47024563999657865
tabpfn_plain,seen_same_label,1955921,0.9984201815922014,0.8498466860993537,0.6546696384128443
tabpfn_plain,seen_diff_label,48156,0.1714012791760113,0.06686579895318331,0.00017874059377625252
tabpfn_plain,unseen,2019033,0.9946330743479675,0.7282663344194515,0.3711415440047248
ours_c0,all,4023110,0.9858410533144756,0.7616381927609644,0.5478176724438492
ours_c0,seen_same_label,1955921,0.9980786545059847,0.9508538070985402,0.8904159185797269
ours_c0,seen_diff_label,48156,0.13339978403521888,0.06697058224625582,0.029055926397432014
ours_c0,unseen,2019033,0.9943175767805678,0.7805887447335674,0.4924110551839586
distpfn,all,4023110,0.9671485492566696,0.668056315438035,0.4689750612394978
distpfn,seen_same_label,1955921,0.9596394741914422,0.7049121005366967,0.6440532312536998
distpfn,seen_diff_label,48156,0.13057562920508348,0.054977761698720935,0.0033168704991694514
distpfn,unseen,2019033,0.9943760205999604,0.7782797674093409,0.487128209784895
