class_id,class_name,is_tail,alpha,base_prec,base_recall,base_f1,moe_prec,moe_recall,moe_f1,delta_f1
0,analysis,True,0.4,0.9607843137254902,0.09158878504672897,0.16723549488054607,0.7466666666666667,0.10467289719626169,0.18360655737704917,0.016371062496503108
1,backdoor,True,0.4,0.7916666666666666,0.0815450643776824,0.14785992217898833,0.8,0.08583690987124463,0.15503875968992248,0.00717883751093415
2,dos,True,0.7,0.4806110458284371,0.1250382146132681,0.19844735565259583,0.34044099830385266,0.8590645062671965,0.4876355748373102,0.2891882191847144
3,exploits,False,,0.6273369017143744,0.9081414935429534,0.7420627638098733,0.8625175808720112,0.5509264458169567,0.6723771671349277,-0.06968559667494567
4,fuzzers,True,0.4,0.7141740489838457,0.5652711899360693,0.6310579026131,0.6558793969849246,0.6729222520107239,0.6642915309446255,0.03323362833152543
5,generic,False,,0.9950086058519794,0.9819942245625956,0.9884585791228521,0.9962911850957392,0.9810599626295227,0.9886169120164328,0.0001583328935806927
6,normal,False,,0.906320426142184,0.9513440860215053,0.928286643584094,0.9344470173117212,0.911236559139785,0.9226958462627253,-0.00559079732136869
7,reconnaissance,True,0.1,0.9183411714407866,0.7676912080057183,0.8362857699046136,0.909205020920502,0.77662616154396,0.8377023901310717,0.001416620226458165
8,shellcode,True,0.1,0.6194690265486725,0.695364238410596,0.6552262090483619,0.6261127596439169,0.6986754966887417,0.6604068857589984,0.005180676710636489
9,worms,True,0.1,0.5,0.4857142857142857,0.4927536231884058,0.5,0.4857142857142857,0.4927536231884058,0.0
