expert_idx,expert_name,selected_rate,avg_weight,val_acc,assigned_classes
0,Anchor_Global,0.9229816652895587,0.34982460737228394,0.9942213913111689,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9"
1,Balanced_Global,0.00022173180910146323,0.29605230689048767,0.992632927610506,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9"
2,Tail_Expert,0.022173180910146324,0.02026047557592392,0.9956663624365549,"0, 3, 4, 5, 6, 8, 9"
3,Spec_Group1_volume,0.036236416311930635,0.035308510065078735,0.0010794331994400032,"0, 2, 3, 4, 5, 6, 7, 9"
4,Spec_Group2_timing,0.013954461306753407,0.017094450071454048,0.9935561109003127,"0, 2, 3, 4, 5, 6, 7, 9"
5,Spec_Group3_packet,0.00167763123489975,0.013030176050961018,0.983893548260477,"0, 2, 3, 4, 5, 6, 7, 9"
6,Spec_Group4_tcp,0.0021524719959000534,0.029640568420290947,0.7211320705318689,"0, 1, 3, 4, 5, 6, 7, 8"
7,Rand_1_packet,0.0004204537134848501,0.01774207502603531,0.9889963475828423,"2, 5, 6, 7, 9"
8,Rand_2_timing,0.00010668228551108136,0.205788716673851,0.9934666169632522,"0, 2, 3, 4, 5, 6, 7, 8, 9"
9,Rand_3_packet,7.530514271370449e-05,0.015258107334375381,0.9887083521085694,"2, 5, 6, 7, 8, 9"
